Order ID,Customer ID,Employee ID,Order Date,Shipped Date,id_seqClient,id_seq_Employee,"mois_annee ",id_temps,Nbr_Commande_Livree,Nbr_Commande_Non_Livree,id_seq_fait
10308,"ANATR","7",1996-09-18 00:00:00.000,1996-09-24 00:00:00.000,2,7,"septembre 1996",43,1,0,1
10303,"GODOS","7",1996-09-11 00:00:00.000,1996-09-18 00:00:00.000,30,7,"septembre 1996",43,1,0,12
10289,"BSBEV","7",1996-08-26 00:00:00.000,1996-08-28 00:00:00.000,11,7,"août 1996",21,1,0,20
10319,"TORTU","7",1996-10-02 00:00:00.000,1996-10-11 00:00:00.000,80,7,"octobre 1996",64,1,0,375
10322,"PERIC","7",1996-10-04 00:00:00.000,1996-10-23 00:00:00.000,58,7,"octobre 1996",64,1,0,412
10335,"HUNGO","7",1996-10-22 00:00:00.000,1996-10-24 00:00:00.000,37,7,"octobre 1996",64,1,0,489
10336,"PRINI","7",1996-10-23 00:00:00.000,1996-10-25 00:00:00.000,60,7,"octobre 1996",64,1,0,500
10341,"SIMOB","7",1996-10-29 00:00:00.000,1996-11-05 00:00:00.000,73,7,"octobre 1996",64,1,0,530
10349,"SPLIR","7",1996-11-08 00:00:00.000,1996-11-15 00:00:00.000,75,7,"novembre 1996",87,1,0,574
10353,"PICCO","7",1996-11-13 00:00:00.000,1996-11-25 00:00:00.000,59,7,"novembre 1996",87,1,0,599
10367,"VAFFE","7",1996-11-28 00:00:00.000,1996-12-02 00:00:00.000,83,7,"novembre 1996",87,1,0,675
10406,"QUEEN","7",1997-01-07 00:00:00.000,1997-01-13 00:00:00.000,62,7,"janvier 1997",130,1,0,881
10424,"MEREP","7",1997-01-23 00:00:00.000,1997-01-27 00:00:00.000,51,7,"janvier 1997",130,1,0,987
10428,"REGGC","7",1997-01-28 00:00:00.000,1997-02-04 00:00:00.000,66,7,"janvier 1997",130,1,0,1012
10458,"SUPRD","7",1997-02-26 00:00:00.000,1997-03-04 00:00:00.000,76,7,"février 1997",153,1,0,1164
10483,"WHITC","7",1997-03-24 00:00:00.000,1997-04-25 00:00:00.000,89,7,"mars 1997",173,1,0,1303
10490,"HILAA","7",1997-03-31 00:00:00.000,1997-04-03 00:00:00.000,35,7,"mars 1997",173,1,0,1345
10496,"TRADH","7",1997-04-04 00:00:00.000,1997-04-07 00:00:00.000,81,7,"avril 1997",194,1,0,1379
10497,"LEHMS","7",1997-04-04 00:00:00.000,1997-04-07 00:00:00.000,44,7,"avril 1997",194,1,0,1390
10507,"ANTON","7",1997-04-15 00:00:00.000,1997-04-22 00:00:00.000,3,7,"avril 1997",194,1,0,1455
10512,"FAMIA","7",1997-04-21 00:00:00.000,1997-04-24 00:00:00.000,21,7,"avril 1997",194,1,0,1483
10513,"WANDK","7",1997-04-22 00:00:00.000,1997-04-28 00:00:00.000,86,7,"avril 1997",194,1,0,1494
10520,"SANTG","7",1997-04-29 00:00:00.000,1997-05-01 00:00:00.000,70,7,"avril 1997",194,1,0,1541
10523,"SEVES","7",1997-05-01 00:00:00.000,1997-05-30 00:00:00.000,72,7,"mai 1997",216,1,0,1561
10527,"QUICK","7",1997-05-05 00:00:00.000,1997-05-07 00:00:00.000,63,7,"mai 1997",216,1,0,1582
10531,"OCEAN","7",1997-05-08 00:00:00.000,1997-05-19 00:00:00.000,54,7,"mai 1997",216,1,0,1612
10532,"EASTC","7",1997-05-09 00:00:00.000,1997-05-12 00:00:00.000,19,7,"mai 1997",216,1,0,1623
10550,"GODOS","7",1997-05-28 00:00:00.000,1997-06-06 00:00:00.000,30,7,"mai 1997",216,1,0,1721
